Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.239806775598059,0.0644983827316908,-0.25,0,0,0,6.94691712905856,0.0103879006677156,8.52629220722859E-20,1.02331586158098E-17,0.0155271521411309,-1.37314630453513E-18,0.00891994931423242,0,0,0,0,0,0,package://urdf6/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf6/meshes/base_link.STL,,Copy of Copy of Copy of Copy of pipe180x10^AiRobotURDF-1;Copy of LiPoBattery^AiRobotURDF-1;Copy of Copy of Copy of pipe180x10^AiRobotURDF-3;Copy of Part28^AiRobotURDF-3;Copy of Copy of Copy of pipe280x15^AiRobotURDF-4;Copy of Copy of Copy of pipe280x15^AiRobotURDF-3;Copy of Part28^AiRobotURDF-4;Copy of Copy of Copy of pipe280x15^AiRobotURDF-2;Copy of Copy of Copy of pipe280x15^AiRobotURDF-1;Copy of Part28^AiRobotURDF-2;Copy of Copy of Copy of pipe180x10^AiRobotURDF-4;Copy of Copy of Copy of pipe180x10^AiRobotURDF-2;Copy of Copy of Copy of pipe180x10^AiRobotURDF-1;Copy of Part28^AiRobotURDF-1;Copy of Part30^AiRobotURDF-4;Copy of Part29^AiRobotURDF-4;Copy of Part30^AiRobotURDF-2;Copy of Part29^AiRobotURDF-2;Copy of Part30^AiRobotURDF-1;Copy of Part29^AiRobotURDF-1;Copy of Part30^AiRobotURDF-3;Copy of Part29^AiRobotURDF-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
st_fr,5.55111512312578E-17,1.38777878078145E-17,-0.0477326937791915,0,0,0,0.98656895809198,0.000605869465521238,-2.67478592933712E-18,-1.5526806935016E-20,0.000870444277121926,-2.66854835576841E-20,0.000666770084789447,0,0,0,0,0,0,package://urdf6/meshes/st_fr.STL,1,1,1,1,0,0,0,0,0,0,package://urdf6/meshes/st_fr.STL,,Copy of Part29^AiRobotURDF-3;Copy of Part30^AiRobotURDF-3,Origin_st_fr,Axis_st_fr,st_fr,fixed,0.428,0.0719999999999983,0.098,0,0,0,base_link,0,0,0,,,,,,,,,,,,
wh_fr,-1.66533453693773E-16,-5.55111512312578E-17,0.015,0,0,0,0.764764182848667,0.000394618318349911,-2.71050543121376E-20,-2.68066210887539E-18,0.000394618318349911,-9.167375055187E-19,0.000674522009272522,0,0,0,0,0,0,package://urdf6/meshes/wh_fr.STL,0.686274509803922,0.658823529411765,0.63921568627451,1,0,0,0,0,0,0,package://urdf6/meshes/wh_fr.STL,,Copy of Part30^AiRobotURDF-3,Origin_wh_fr,Axis_wh_fr,wh_fr,fixed,0,0.015,-0.056,-1.5707963267949,-0.316982240676282,3.14159265358979,st_fr,0,0,0,,,,,,,,,,,,
st_fl,5.55111512312578E-17,5.55111512312578E-17,-0.0477326937791915,0,0,0,0.98656895809198,0.000605869465521238,-2.67545989900641E-18,-1.97204437306171E-20,0.000870444277121926,-8.25064712488782E-20,0.000666770084789446,0,0,0,0,0,0,package://urdf6/meshes/st_fl.STL,1,1,1,1,0,0,0,0,0,0,package://urdf6/meshes/st_fl.STL,,Copy of Part29^AiRobotURDF-4;Copy of Part30^AiRobotURDF-4,Origin_st_fl,Axis_st_fl,st_fl,fixed,0.428000000000003,0.427999999999998,0.0979999999999999,0,0,0,base_link,0,0,0,,,,,,,,,,,,
wh_fl,-2.77555756156289E-17,1.66533453693773E-16,0.015,0,0,0,0.764764182848667,0.000394618318349911,0,-5.48258672951474E-19,0.000394618318349911,2.77721496200514E-18,0.000674522009272521,0,0,0,0,0,0,package://urdf6/meshes/wh_fl.STL,0.686274509803922,0.658823529411765,0.63921568627451,1,0,0,0,0,0,0,package://urdf6/meshes/wh_fl.STL,,Copy of Part30^AiRobotURDF-4,Origin_wh_fl,Axis_wh_fl,wh_fl,fixed,0,0.015,-0.056,-1.5707963267949,1.37893541128007,3.14159265358979,st_fl,0,0,-1,,,,,,,,,,,,
st_bl,-8.32667268468867E-17,0,-0.0477326937791914,0,0,0,0.986568958091981,0.000605869465521239,-2.72369232616687E-18,-4.91062297093515E-21,0.000870444277121927,-3.87853460025097E-20,0.000666770084789447,0,0,0,0,0,0,package://urdf6/meshes/st_bl.STL,1,1,1,1,0,0,0,0,0,0,package://urdf6/meshes/st_bl.STL,,Copy of Part29^AiRobotURDF-2;Copy of Part30^AiRobotURDF-2,Origin_st_bl,Axis_st_bl,st_bl,fixed,0.0719999999999937,0.428000000000001,0.0979999999999999,0,0,0,base_link,0,0,0,,,,,,,,,,,,
wh_bl,0,1.11022302462516E-16,0.015,0,0,0,0.764764182848668,0.000394618318349911,8.470329472543E-22,1.04246469853974E-19,0.000394618318349911,2.87657101211516E-18,0.000674522009272522,0,0,0,0,0,0,package://urdf6/meshes/wh_bl.STL,0.686274509803922,0.658823529411765,0.63921568627451,1,0,0,0,0,0,0,package://urdf6/meshes/wh_bl.STL,,Copy of Part30^AiRobotURDF-2,Origin_wh_bl,Axis_wh_bl,wh_bl,fixed,0,0.015,-0.0559999999999999,1.5707963267949,1.5497746785967,0,st_bl,0,0,1,,,,,,,,,,,,
st_br,1.38777878078145E-17,1.38777878078145E-17,-0.0477326937791915,0,0,0,0.98656895809198,0.000605869465521238,-2.64224544645102E-18,-4.99362556594638E-21,0.000870444277121926,6.55402438299341E-21,0.000666770084789447,0,0,0,0,0,0,package://urdf6/meshes/st_br.STL,1,1,1,1,0,0,0,0,0,0,package://urdf6/meshes/st_br.STL,,Copy of Part29^AiRobotURDF-1;Copy of Part30^AiRobotURDF-1,Origin_st_br,Axis_st_br,st_br,fixed,0.072,0.0719999999999996,0.0979999999999999,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
wh_br,-1.38777878078145E-16,-8.32667268468867E-17,0.015,0,0,0,0.764764182848667,0.000394618318349911,2.71050543121376E-20,-2.37144111384372E-18,0.000394618318349911,-1.50660309843309E-18,0.000674522009272522,0,0,0,0,0,0,package://urdf6/meshes/wh_br.STL,0.686274509803922,0.658823529411765,0.63921568627451,1,0,0,0,0,0,0,package://urdf6/meshes/wh_br.STL,,Copy of Part30^AiRobotURDF-1,Origin_wh_br,Axis_wh_br,wh_br,fixed,0,0.015,-0.056,-1.5707963267949,-0.57401915441884,3.14159265358979,st_br,0,0,0,,,,,,,,,,,,
